"cellID","Physical - Substrate - Unconsolidated (soft) - Sand / mud (<2mm)","Biota - Molluscs - Bivalves","Physical - Substrate - Unconsolidated (soft) - Pebble / gravel","Physical - Substrate - Consolidated (hard) - Boulders","Biota - Matrix - Turf/Sediment/Silt matrix","Physical - Substrate - Consolidated (hard) - Cobbles","Physical - Substrate - Unconsolidated (soft) - Pebble / gravel - Biologenic","Biota - General Unknown Biology","Unscorable","Biota - Matrix","Biota - Bryozoa - Hard - Branching - Antler","Biota - Cnidaria - Hydrocorals - Branching","Biota - Echinoderms - Ophiuroids - Brittle / snake stars - Suspension feeders","Biota - Ascidians - Unstalked - Colonial","Biota - Cnidaria - Corals - Black & Octocorals - Branching (3D) - Non-fleshy - Bottle-brush - Simple","Biota - Cnidaria - Hydroids - Colonial","Biota - Echinoderms - Ophiuroids - Brittle / snake stars","Biota - General Unknown Biology - Stick","Biota - Bryozoa - Hard - Branching - Leafy","Biota - Worms","Biota - Cnidaria - True anemones","Biota - Bryozoa - Hard - Fenestrate - Bryozoa Lace","Biota - Bryozoa - Soft - Dendroid","Biota - Matrix - Bryozoa / Cnidaria Matrix","Biota - Sponges - Erect forms - Branching - Grey cast like","Biota - Bryozoa - Hard - Branching - Antler - Purple","Biota - Bryozoa - Hard - Encrusting","Biota - Sponges - Massive forms - Balls","Biota - General Unknown Biology - Potentially identifiable","Biota - Cnidaria - Corals - Black & Octocorals - Branching (3D) - Non-fleshy - Bottle-brush - Complex","Biota - Crustacea - Barnacles","Biota - Ascidians - Unstalked - Solitary","Biota - Echinoderms - Sea cucumbers - Benthic - Suspension feeder","Biota - Ascidians - Stalked - Colonial","Biota - Worms - Polychaetes - Tube worms","Biota - Bryozoa - Soft - Foliaceous","Biota - Bryozoa - Hard - Branching - Antler Coral-head","Biota - Sponges - Crusts - Creeping / ramose","Biota - Cnidaria - Corals - Black & Octocorals - Whip - Sea Whip","Biota - Sponges - Erect forms - Laminar","Biota - Sponges - Massive forms - Simple","Biota - Echinoderms - Feather stars - Unstalked crinoids","Biota - Echinoderms - Sea urchins - Irregular urchins","Biota - Echinoderms - Sea cucumbers - Benthic - Suspension feeder - Buried","Biota - Sponges - Cup-likes - Barrels","Biota - Worms - Flat","Biota - Sponges - Massive forms - Simple - Spikey orange massive","Biota - Echinoderms - Sea stars","Biota - Fishes - Bony fishes","Biota - Echinoderms - Ophiuroids - Brittle / snake stars - Curly arms","Biota - Bryozoa - Soft","Biota - Sponges - Erect forms - Branching","Biota - Sponges - Cup-likes - Tubes and chimneys","Biota - Matrix - Sponge matrix","Biota - Cnidaria - Corals - Black & Octocorals - Fan (2D)","Biota - Cnidaria - Corals - Black & Octocorals - Branching (3D) - Non-fleshy","Biota - Macroalgae","Biota - Cnidaria - Corals - Black & Octocorals - Branching (3D) - Fleshy - Mushroom","Physical - Substrate - Consolidated (hard) - Rock","Biota - Crustacea - Prawns","Biota - Echinoderms - Sea cucumbers - Benthic","Biota - Bryozoa - Hard - Fenestrate","Biota - Sponges - Erect forms - Simple - Yellow bottlebrush","Biota - Seaspiders","Biota - Molluscs - Cephalopods - Octopods","Biota - Molluscs - Gastropods","Biota - Jellies","Biota - Crustacea - Amphipoda","Biota - Sponges - Massive forms - Balls - Long Spicules","Biota - Fished - Bony fishes - Eggs","Biota - General Unknown Biology - Stalk","Biota - Echinoderms - Sea urchins - Regular urchins - Pencil urchins","Biota - Sponges - Cup-likes - Cups - Tables / discs","Biota - Ascidians - Stalked - Solitary","Physical - Substrate - Unconsolidated (soft) - Pebble / gravel - Biologenic - Coquina / shellhash","Biota - Cnidaria - Colonial anemones","Biota - Cnidaria - Corals - Black & Octocorals - Whip - Sea Whip - Large polyps","Biota - Cnidaria - Corals - Stony corals - Solitary","Biota - Sponges - Massive forms - Simple - Simple Grey Perforated","Biota - Echinoderms - Sea urchins - Regular urchins","Biota - Cnidaria - Hydroids","Biota - Echinoderms - Sea stars - Labidiaster annulatus","Biota - Cnidaria - Corals - Black & Octocorals - Quill (seapen)","Biota - Worms - Polychaetes - Scaleworms","Biota - Cnidaria - Corals - Black & Octocorals - Branching (3D) - Fleshy - Arborescent","Biota - Ascidians - Stalked - Colonial - White Long Rod","Biota - Bryozoa - Hard - Melicerita obliqua","Biota - Echinoderms - Ophiuroids - Brittle / snake stars - Suspension feeders - Six arms","Biota - Molluscs - Chitons","Biota - Sponges - Erect forms - Stalked","Biota - Brachiopods","Biota - Crustacea - Isopoda","Biota - Sponges - Erect forms - Simple","Biota - Bryozoa","Biota - Crustacea - Isopoda - Serolidae","Biota - Ascidians - Stalked - Colonial - White Lollipop","Biota - Fishes - Elasmobranchs - Rays & skates","Biota - Macroalgae - Encrusting","Biota - Jellies - Siphonophores","Biota - Echinoderms - Ophiuroids - Basket stars","Biota - Echinoderms - Feather stars - Stalked crinoids"
"4091297",3098,0,71,2,3,2,25,2,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3851216",3180,0,2,0,0,0,22,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3624461",5381,0,2,0,9,0,15,1,78,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3627795",106,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4091298",211,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3851217",213,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3624462",642,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3627796",105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3487806",1487,0,67,58,0,9,51,2,11,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3481136",1636,0,6,8,1,2,35,4,1,0,1,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3491133",1420,0,2,5,1,1,5,1,8,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,49,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
